ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,LGA_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH,PED_OR_CYC,nearest_school,dist_to_gate_m
T20250020558,2025-04-08,09:35:00,2,Struck Pedestrian,1,Monday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,820967,1,0,0,1,1,2,1,5,Not at intersection,3,777,Local Road,(FALLS CREEK),-36.864708,147.27957,3699.0,True,Reservoir HS,220709.8
T20230005075,2023-02-03,20:12:00,1,Collision with vehicle,4,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,37738,2,0,1,0,1,2,1,2,T intersection,2,40,Arterial Other,STONNINGTON,-37.84773,145.00046,3141.0,True,Preston HS,11804.4
T20230008829,2023-12-04,19:30:00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,6,228,1,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Highway,MELBOURNE,-37.824577,144.96375,3006.0,True,Preston HS,9971.9
T20240011784,2024-09-05,12:25:00,1,Collision with vehicle,5,Thursday,143,ENTERING PARKING,1,804651,2,0,0,1,1,2,1,5,Not at intersection,3,40,Local Road,MELBOURNE,-37.814457,144.96045,3000.0,True,Preston HS,9069.8
T20240014149,2024-03-06,11:50:00,1,Collision with vehicle,2,Monday,132,RIGHT REAR.,1,11574,2,0,1,0,1,2,1,1,Cross intersection,2,60,Freeway,FRANKSTON,-38.12914,145.13304,3199.0,True,Preston HS,44474.6
T20210012646,2021-07-06,18:20:00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,42288,1,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other,GLEN EIRA,-37.922916,145.07309,3165.0,True,Preston HS,20967.2
T20220005422,2022-10-03,06:45:00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,756067,2,0,1,0,1,2,1,5,Not at intersection,2,80,Freeway,MELBOURNE,-37.828445,144.95787,3006.0,True,Preston HS,10571.4
T20220004969,2022-05-03,16:00:00,1,Collision with vehicle,7,Saturday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,713053,2,0,1,0,0,1,1,6,Dead end,2,50,Local Road,WODONGA,-36.133915,146.86035,3690.0,True,William Ruthven SC,239691.5
T20240022843,2024-08-09,13:20:00,2,Struck Pedestrian,0,Sunday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,808361,1,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,MELBOURNE,-37.800716,144.95369,3051.0,True,Preston HS,8068.6
T20220027619,2022-05-12,15:58:00,1,Collision with vehicle,1,Monday,120,HEAD ON (NOT OVERTAKING),1,741275,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,WELLINGTON,-38.110107,147.04192,3850.0,True,Reservoir HS,181727.1
T20220022695,2022-08-10,15:09:00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,29537,2,0,1,0,1,2,1,4,Multiple intersection,2,60,Arterial Other,BOROONDARA,-37.79912,145.03032,3101.0,True,Preston HS,6703.1
T20230000023,2023-01-01,10:00:00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL,1,748258,1,0,1,0,0,1,1,5,Not at intersection,2,80,Local Road,GOLDEN PLAINS,-37.952118,144.18088,3331.0,True,Preston HS,76225.9
T20240014643,2024-09-05,18:30:00,6,Vehicle overturned (no collision),5,Thursday,180,OFF CARRIAGEWAY ON RIGHT BEND,5,781366,1,0,0,1,0,1,2,5,Not at intersection,3,60,Arterial Other,YARRA RANGES,-37.82028,145.3634,3766.0,True,Reservoir HS,31309.6
T20210003279,2021-11-02,12:52:00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,590,1,0,0,1,1,2,2,1,Cross intersection,3,40,Arterial Other,STONNINGTON,-37.85662,145.02928,3144.0,True,Preston HS,12926.3
T20230025763,2023-04-11,00:00:00,1,Collision with vehicle,7,Saturday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,3,243335,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,MORELAND,-37.77685,144.95842,3056.0,True,Preston HS,5795.7
T20210005181,2021-09-03,06:41:00,1,Collision with vehicle,2,Tuesday,111,RIGHT FAR (INTERSECTIONS ONLY),3,780861,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,KINGSTON,-37.982143,145.07137,3194.0,True,Preston HS,27324.9
T20240023209,2024-12-09,15:10:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,808477,1,0,1,0,1,2,1,5,Not at intersection,2,40,Local Road,NILLUMBIK,-37.673573,145.15645,3089.0,True,Reservoir HS,12426.9
T20210005442,2021-12-03,07:40:00,2,Struck Pedestrian,6,Friday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,781016,1,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,GEELONG,-38.11083,144.3434,3215.0,True,Preston HS,71228.6
T20240028843,2024-02-11,15:00:00,6,Vehicle overturned (no collision),7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,810865,1,0,0,1,0,1,2,2,T intersection,3,100,Local Road,WELLINGTON,-37.91121,146.9764,3860.0,True,Reservoir HS,172307.4
T20240002495,2024-01-02,10:42:00,1,Collision with vehicle,5,Thursday,122,LEFT THROUGH,1,278588,2,0,0,1,1,2,1,2,T intersection,3,40,Local Road,MELBOURNE,-37.81329,144.94371,3008.0,True,Preston HS,9716.3
T20250021156,2025-10-08,09:20:00,5,collision with some other object,1,Sunday,166,STRUCK OBJECT ON CARRIAGEWAY,1,821284,1,0,1,0,0,1,1,5,Not at intersection,2,999,Local Road,GOLDEN PLAINS,-37.793102,143.77412,3352.0,True,Preston HS,108528.7
T20240025154,2024-05-10,17:48:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,1,814159,2,0,1,0,1,2,1,2,T intersection,2,70,Arterial Highway,STONNINGTON,-37.87358,145.03824,3145.0,True,Preston HS,14917.4
T20220004755,2022-03-03,17:28:00,2,Struck Pedestrian,4,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,756431,1,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,GEELONG,-38.068123,144.36298,3214.0,True,Preston HS,67164.6
T20220027806,2022-07-12,17:44:00,2,Struck Pedestrian,4,Wednesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,780991,1,0,1,0,1,2,1,5,Not at intersection,2,80,Arterial Highway,DANDENONG,-37.95347,145.17943,3174.0,True,Preston HS,27990.2
T20240003160,2024-08-02,16:35:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,1,52125,2,0,0,1,1,2,1,1,Cross intersection,3,50,Arterial Other,BAW BAW,-38.16361,145.93082,3820.0,True,Reservoir HS,93032.8
T20220010123,2022-05-05,15:00:00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,711903,1,0,0,2,0,2,1,5,Not at intersection,3,40,Local Road,BALLARAT,-37.55848,143.84714,3350.0,True,William Ruthven SC,102941.5
