school,footpath_pct_200m,footpath_pct_400m,crossings_400m,signals_400m,crossing_density_400m,tree_count_100m,shelter_count_200m,green_pct_400m,bench_count_200m,park_count_400m,avg_speed_400m,arterial_pct_400m,high_speed_road_400m,road_count_400m,cycle_pct_400m,protected_cycle_length_400m,pt_stops_400m,amenity_count_400m,cafe_count_400m,walk_length_400m,crime_rate_per_100k,aqi_pm25,crash_count,serious_or_fatal_rate,school_hours_pct,avg_speed_zone,HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9,HS10,HS_overall
Reservoir HS,58.63,55.63,34,12,1.14,0,7,25.0,0,3,60.0,35.29,10,51,42.77,201.7,22,6,6,29836.7,820,8.5,1286,0.4308,0.29,69.5464,4.2,5.7,5.0,6.0,5.0,6.0,8.0,6.8,5.2,9.0,6.1
William Ruthven SC,55.86,50.8,60,3,1.68,0,0,40.0,0,3,70.0,15.04,16,133,39.03,0.0,4,2,1,35787.7,560,7.0,1580,0.4557,0.3133,66.4597,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,6.7
Preston HS,50.73,50.55,84,7,1.5,0,2,35.0,1,4,42.3,31.69,23,142,44.87,0.0,25,50,44,56159.2,710,7.8,4907,0.4233,0.3854,55.9167,9.1,0.4,5.0,8.0,7.0,7.8,8.0,10.0,7.6,9.0,7.2
