School,Suburb,LGA,IRSD_Score_Weighted,IRSD_Decile,Disadvantage_Level,SA1_Count,Catchment_Population,Implication,Gate_Lat,Gate_Lon
Reservoir High School,Reservoir,City of Darebin,974.6,3.7,Moderate-high disadvantage,3,12310,Active travel dependency above average — investment justified,-37.7224,145.0294
William Ruthven Secondary College,Reservoir,City of Darebin,974.6,3.7,Moderate-high disadvantage,3,12310,Active travel dependency above average — investment justified,-37.69654,145.00299
Preston High School,Preston,City of Darebin,1009.9,5.5,Moderate disadvantage,2,6383,Mixed socioeconomic profile — safe streets benefit all,-37.7417,145.0071
