ACCIDENT_NO,nearest_school,serious_or_fatal,hour,day_of_week,month,is_weekend,is_school_hours,speed_zone_num,is_high_speed_zone,road_geometry_code,no_of_vehicles,light_condition_code,is_dark,dist_to_gate_m,near_school_400m,walk_edges_200m,walk_length_200m,footpath_length_200m,footpath_pct_200m,road_count_200m,arterial_count_200m,arterial_pct_200m,avg_speed_200m,high_speed_road_200m,crossings_200m,signals_200m,crossing_density_200m,walk_edges_400m,walk_length_400m,footpath_length_400m,footpath_pct_400m,road_count_400m,arterial_count_400m,arterial_pct_400m,avg_speed_400m,high_speed_road_400m,crossings_400m,signals_400m,crossing_density_400m,walk_edges_800m,walk_length_800m,footpath_length_800m,footpath_pct_800m,road_count_800m,arterial_count_800m,arterial_pct_800m,avg_speed_800m,high_speed_road_800m,crossings_800m,signals_800m,crossing_density_800m
T20230022447,Reservoir HS,1,9,0,8,0,1,50,0,2,1,9,1,29305.7,0,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25
T20240020071,Reservoir HS,1,11,3,8,0,0,60,1,2,2,1,0,14123.1,0,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25
T20220000033,William Ruthven SC,1,6,5,1,1,0,60,1,5,1,1,0,15028.0,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20250021068,Preston HS,1,12,5,8,1,0,100,1,5,1,1,0,96500.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20230005386,Preston HS,1,15,0,3,0,1,60,1,2,2,1,0,16682.4,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240008650,Preston HS,1,17,5,4,1,0,70,1,5,2,1,0,21853.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20230019195,Reservoir HS,0,12,5,8,1,0,999,1,5,1,1,0,251017.5,0,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25
T20230015794,Preston HS,1,22,4,7,0,0,40,0,1,1,3,1,12307.3,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240023119,Reservoir HS,0,17,2,9,0,1,60,1,1,2,1,0,8766.2,0,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25
T20230000724,Preston HS,1,14,3,1,0,1,40,0,2,1,1,0,14888.4,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20220015605,Preston HS,0,18,1,7,0,0,60,1,5,1,2,1,298759.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20210000469,Preston HS,1,11,4,1,0,0,40,0,5,1,1,0,14168.0,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20220007709,Preston HS,0,14,2,4,0,1,50,0,1,2,1,0,18359.0,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20210005161,Preston HS,1,7,1,3,0,1,60,1,2,2,1,0,20712.7,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20250009838,William Ruthven SC,0,0,5,4,1,0,60,1,5,1,3,1,1017.6,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20250011659,William Ruthven SC,0,6,3,5,0,0,999,1,4,1,9,1,10364.2,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20240019700,Preston HS,0,13,6,8,1,0,60,1,2,2,1,0,15167.5,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20220004813,Preston HS,0,8,4,3,0,1,999,1,1,2,1,0,4703.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20250011890,Preston HS,0,14,6,5,1,0,50,0,5,1,1,0,32539.3,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20220009712,William Ruthven SC,0,10,6,5,1,0,60,1,1,2,1,0,151043.5,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20220018987,Preston HS,0,16,0,8,0,1,60,1,1,2,1,0,14447.9,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240002485,Preston HS,0,9,3,2,0,1,60,1,1,2,1,0,11258.6,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240025666,Preston HS,0,8,4,10,0,1,40,0,5,2,1,0,5098.5,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20230002709,Preston HS,0,8,4,2,0,1,40,0,5,2,1,0,57923.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240014770,Preston HS,0,14,0,6,0,1,40,0,1,2,1,0,8797.4,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240016688,Preston HS,0,12,6,5,1,0,999,1,5,2,1,0,9101.9,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20230017941,Preston HS,0,18,1,8,0,0,40,0,1,1,3,1,7813.4,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20210025598,Preston HS,0,17,0,12,0,1,40,0,5,2,1,0,7536.6,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
