school_name,gate_lat,gate_lon,walk_edges_200m,walk_length_200m,footpath_length_200m,footpath_pct_200m,road_count_200m,arterial_count_200m,arterial_pct_200m,avg_speed_200m,high_speed_road_200m,crossings_200m,signals_200m,crossing_density_200m,cycle_length_200m,protected_cycle_length_200m,cycle_pct_200m,walk_edges_400m,walk_length_400m,footpath_length_400m,footpath_pct_400m,road_count_400m,arterial_count_400m,arterial_pct_400m,avg_speed_400m,high_speed_road_400m,crossings_400m,signals_400m,crossing_density_400m,cycle_length_400m,protected_cycle_length_400m,cycle_pct_400m,walk_edges_800m,walk_length_800m,footpath_length_800m,footpath_pct_800m,road_count_800m,arterial_count_800m,arterial_pct_800m,avg_speed_800m,high_speed_road_800m,crossings_800m,signals_800m,crossing_density_800m,cycle_length_800m,protected_cycle_length_800m,cycle_pct_800m
Reservoir High School,-37.7224,145.0294,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,2152.9,0.0,26.79,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,12759.8,201.7,42.77,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25,67218.0,7448.8,43.86
William Ruthven Secondary College,-37.69654284,145.0029925,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,1377.0,0.0,40.55,786,35240.7,17631.4,50.03,133,20,15.04,70.0,16,60,3,1.7,13967.4,0.0,39.63,3120,146219.3,79101.2,54.1,527,67,12.71,65.2,58,202,13,1.38,58638.3,1477.6,40.1
Preston High School,-37.7415,145.00718,298,10101.2,5074.2,50.23,18,4,22.22,53.3,4.0,18,,1.78,4603.9,0.0,45.58,1298,57808.2,29738.4,51.44,133,44,33.08,44.1,22,83,7,1.44,24517.2,0.0,42.41,5702,238524.3,133000.8,55.76,631,202,32.01,46.5,108,419,28,1.76,112957.9,4586.2,47.36
Reservoir HS,-37.7224,145.0294,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,2152.9,0.0,26.79,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,12759.8,201.7,42.77,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25,67218.0,7448.8,43.86
William Ruthven SC,-37.69654,145.00299,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,1377.0,0.0,40.55,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,13967.4,0.0,39.03,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37,58638.3,1477.6,40.11
Preston HS,-37.7417,145.0071,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,4130.3,0.0,43.09,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,25197.4,0.0,44.87,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83,108845.3,4586.2,46.95
